Sentence,Type
Gilbert was soon on his feet again.,1
She kicked her feet and swung at him with her fists.,1
His feet were bare.,1
"I had no shoes for my feet, no coat for my back.",1
He jumped to his feet and looked up at the kind gentleman.,1
He planted his feet firmly and made ready to spring.,1
Pete threw his feet over the wagon seat and dropped to the ground.,1
"She came to her feet, stretching her body to its maximum height.",1
Carefully she moved her feet into a position with better leverage.,1
"He took her hands and helped her to her feet, his voice becoming soft and gentle, his gaze mystic.",1
"Bordeaux hit the sand on his feet, a rifle in his hands.",1
He was the first to his feet and dragged her up the beach.,1
"The third time that he thrust out the weapon there was a loud roar and a fall, and suddenly at his feet appeared the form of a great red bear, which was nearly as big as the horse and much stronger and fiercer.",1
"Old shoes will serve a hero longer than they have served his valet--if a hero ever has a valet--bare feet are older than shoes, and he can make them do.",1
She swung her legs around and firmly planted her feet on the ground before accepting the hand he offered.,1
"In the hall beyond, most of the murmured conversation was taking place as feet tromped around the house.",1
"The frozen sea beneath her feet was the color of tar, the black clouds above paused mid-swirl around a pop of blue sky in the storm's center.",1
"I clung to her, trembling with joy to feel the earth under my feet once more.",1
He had a nightcap on his head and his feet were bare.,1
It was time to stand on her own two feet.,1
Something about her feet hitting the floor in the morning seemed to trigger her stomach.,1
"With planning and diligence, his business would be on its feet in a few years and she would be working in the pediatric ward at the hospital.",1
"He tucked his hands in his back pockets and shuffled his feet, the color in his face deepening.",1
"Her bare feet made no noise as she moved across the room toward him, so when she reached his side he glanced up sharply.",1
Why don't you curl up on the couch and get your bare feet off this cold floor?,1
"She dashed on bare feet to intercept him, catching him with an index finger in the back of his belt.",1
I pulled her to her feet and walked her out into the night.,1
"Talon hauled her to her feet, holding her up by one arm when she wobbled.",1
"Infatuated by the carpet, she kept her feet bare.",1
"Several squeals and grunts were instantly heard at his feet, but the Wizard could not discover a single piglet.",1
"Bordeaux pushed to his feet and moved away from her, careful not to make any sudden movements that might be misinterpreted.",1
Dean took his wife's hand and pulled her to her feet and held her until her sobbing subsided.,1
"As the days wore on, the drifts gradually shrunk, but before they were wholly gone another storm came, so that I scarcely felt the earth under my feet once all winter.",1
"With his head bent, and his big feet spread apart, he began explaining his reasons for thinking the abbe's plan chimerical.",1
He had a nightcap on his head and his feet were bare.,1
"Believing their danger past, they sprang from their ambush and, chirruping something in their shrill little voices and holding up their skirts, their bare little sunburned feet scampered merrily and quickly across the meadow grass.",1
"Like the seventh and last wave that shatters a ship, that last irresistible wave burst from the rear and reached the front ranks, carrying them off their feet and engulfing them all.",1
"It felt good to be off her feet, even if only momentarily and in such a manner.",1
"He carried her about a hundred yards and then set her on her feet, slapping her backside with a sting that brought tears to her eyes.",1
"Startled, he jumped to his feet, dropping the umbrella.",1
"The clouds far above were starting to swirl with hypnotic slowness, the rain beginning to fall again, and the sea beneath their feet rippling and shifting beneath the rubbery surface.",1
Swords clashed and spit sparks while their feet danced too fast for her to follow.,1
"Jule was knocked off his feet by a hard blow but got back up, beckoning to the other creature with a look of confidence out of place for his bloodied face.",1
They formed a fog at her feet and trailed her toward the stairwell.,1
"Dean rose to his feet and went over to the officer, gently pushing her down to a sitting position.",1
"A little further ahead, they glimpsed a white flash of tail as a deer bounded crossed the trail no more than fifty feet ahead of them.",2
"Talon shoved her back into the valley with a snarled threat under his breath, and she hurried out of the trough again, breathing hard by the time she'd clambered twenty feet to the top.",2
"He leaned against the wall a few feet from her, arms crossed and cold blue eyes on her.",2
"You are at least six feet high, and that is higher than any other animal in this country, said the Steward.",2
Her fall was brutally interrupted by a rock ledge about five feet down.,2
"The Gargoyles were very small of stature, being less than three feet in height.",2
"His eyes were dark and warm like Bianca's, his frame just over six feet and still lanky, though he showed signs of starting to fill out.",2
"It is thrown across the gorge at a height of two hundred and fifty-eight feet above the water and is supported on each bank by towers of solid rock, which are eight hundred feet apart.",2
"The Gargoyles were very small of stature, being less than three feet in height.",2
"You are at least six feet high, and that is higher than any other animal in this country, said the Steward.",2
"About 10 feet back into the cave water oozed from the wall, slowly dripping into a small rock pool.",2
"If she just turned her head, she could see me, sitting comfortably a scant ten feet away in the darkened living room.",2
Why is a 400 feet cordon needed around a deep underground station like Warren Street?,2
His horizontal jump carried him only a feet or two.,2
His horizontal jump carried him only a feet or two.,2
"It's a 38 feet chain with the typical Chanel logo at the end, studded in pave cubic zirconias.",2
"Barely a feet thick, the player is long, thin and rectangular in shape.",2
"On the side of the object directly opposite the open side, cut a small hole about two feet in size.",2
Their APC's penetrate up to 14 feet of steel.,2
A person who once skied on 200 feet straight ski will now find an 175 feet ski sufficient.,2
They're not . 06 feet long all the time.,2
Each medal is seven feet in diameter and five millimeters thick.,2
The five feet could decide the future of a sports person.,2
"At 6.5 feet, the risk more than doubles.",2
Snow cover in Sofia measured 10 feet.,2
He was 55.88 feet tall.,2
A unit contains 250 cubic feet of blood.,2
The river is already at 117 feet above the flood level.,2
"An MRI revealed the cancerous tumor, 4 feet in diameter.",2
"Since then, it has expanded to six or seven feet.",2
It was only a few feet that did it for me.,2
They stopped just feet ( inches ) short of the hole.,2
Ash was 3 inches ( 8 feet ) deep in places.,2
I was missing so many shots by one or two feet.,2
Its buttons are 35 feet in diameter.,2
Snowfall in Aviemore reached about 15 feet.,2
The leaves are leaflets up to 3.5 feet long.,2
The total diameter of an umbilical hernia is usually 10 feet.,2
Garda lake trout reach a length of up to 50 feet.,2
Cross the canal and hold even ten feet of the Sinai.,2
It is a herbaceous perennial plant growing to 45 feet tall.,2
Flatbreads can range from one millimeter to a few feet thick.,2
The average annual rainfall is around 220 feet .,2
